# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1466
#@/user_id	79ab5cc6-16fb-466f-9b2a-142e70327c72
dao4 shi4 	倒是	c=3 d=1.88077 t=767
dao4 shi4 	道士	c=1 d=1 t=1131
de2 	得	c=2 d=1.02665 t=808
de2 bu4 xi1 	德布西	c=1 d=1 t=1037
de5 	的	c=96 d=13.0886 t=1464
deng1 	燈	c=1 d=1 t=356
di2 que4 	的確	c=1 d=1 t=840
di3 bu4 	底部	c=2 d=1.99501 t=177
di4 fang1 	地方	c=1 d=1 t=398
di4 xia4 	地下	c=1 d=1.099 t=119
di4 xia4 ai4 shi4 	地下愛是	c=1 d=1 t=118
di4 yi1 ci4 	第一次	c=1 d=1 t=353
dian3 kai1 	點開	c=1 d=1 t=961
dian3 li3 	典禮	c=1 d=1 t=1437
dian4 	店	c=1 d=1 t=486
dian4 li3 	店裏	c=4 d=1.07313 t=1436
dian4 li4 	電力	c=1 d=1 t=682
dian4 nei4 	店內	c=1 d=1 t=1333
dian4 zhang3 	店長	c=2 d=1.9802 t=1204
dian4 zi3 	電子	c=1 d=1 t=228
diao4 zhe5 	吊着	c=1 d=1 t=350
ding4 	訂	c=1 d=1 t=91
dong1 mei2 	冬梅	c=1 d=1 t=560
dong4 	動	c=1 d=1 t=565
dong4 hua4 	動畫	c=2 d=1.2658 t=826
dong4 kong3 	洞孔	c=1 d=1 t=212
dong4 luan4 	動亂	c=1 d=1 t=1171
dong4 shou3 	動手	c=1 d=1 t=84
dou1 hui2 	都回	c=1 d=1 t=16
dou1 you3 	都有	c=2 d=1.39852 t=788
du2 zhe3 	讀者	c=1 d=1 t=859
duan3 zhan4 	短暫	c=1 d=1 t=1372
dui4 	對	c=4 d=2.03605 t=1154
dui4 shei2 	對誰	c=2 d=1.93707 t=412
duo1 jiu3 	多久	c=1 d=1 t=711
duo2 zou3 	奪走	c=2 d=1.98511 t=730
e2 	額	c=9 d=2.32364 t=753
e2 a5 	額啊	c=1 d=1 t=1050
e4 dao4 	惡道	c=1 d=1 t=149
e4 yi4 	惡意	c=1 d=1 t=423
ei1 	誒	c=1 d=1.00444 t=776
er2 	而	c=2 d=1.0102 t=982
er2 chu1 	而出	c=2 d=1.99501 t=965
er2 fei1 	而非	c=0 d=0.1 t=1031
er2 fei1 da4 	而非大	c=1 d=1 t=1032
er2 shi4 	而是	c=1 d=1 t=590
er2 yi3 	而已	c=1 d=1 t=850
er3 ru2 mu4 ran3 	耳濡目染	c=1 d=1 t=1311
fa1 jue2 	發覺	c=1 d=1 t=1031
fa1 sheng1 	發生	c=1 d=1 t=1169
fa1 xian4 	發現	c=1 d=1 t=1090
fa3 	法	c=1 d=1 t=1385
fan3 er2 	反而	c=1 d=1.00015 t=1341
fan3 zheng1 	反正	c=1 d=1 t=1454
fang1 	方	c=1 d=1 t=359
fang1 xing2 	方形	c=1 d=1 t=331
fang2 jian1 	房間	c=3 d=1.13449 t=881
fang3 fu2 	彷彿	c=2 d=1.0246 t=1005
fang4 	放	c=2 d=1.01015 t=1276
fang4 ru4 	放入	c=1 d=1 t=207
fei1 fa3 	非法	c=2 d=1.45841 t=1322
fen1 	分	c=1 d=1 t=1408
fen1 bian4 	分辨	c=1 d=1 t=56
fu2 chuan4 	符串	c=1 d=1 t=1208
fu4 	父	c=1 d=1 t=1209
fu4 dan1 	負擔	c=2 d=1.88692 t=438
fu4 jia1 	附加	c=1 d=1 t=1215
fu4 jin4 	附近	c=1 d=1 t=278
fu4 qin1 	父親	c=2 d=1.57984 t=1320
fu4 za2 	複雜	c=1 d=1 t=235
fu4 ze2 	負責	c=1 d=1 t=1332
gan3 jue2 	感覺	c=2 d=1.97531 t=529
gan3 zhi1 	感知	c=1 d=1 t=1299
gan4 ma2 	幹嘛	c=1 d=1 t=743
gang1 	剛	c=1 d=1 t=255
gao1 su4 	高速	c=1 d=1 t=1015
gao4 su4 	告訴	c=1 d=1 t=1014
ge4 	個	c=2 d=1.01036 t=960
ge4 zi4 	各自	c=2 d=1.99005 t=453
gen1 	跟	c=2 d=1.36604 t=852
gen1 shei2 	跟誰	c=2 d=1.9802 t=647
gen1 wo3 	跟我	c=1 d=1 t=625
gen1 zhe5 	跟着	c=1 d=1 t=1009
gong1 hui4 	工會	c=1 d=1 t=484
gong1 zuo4 	工作	c=1 d=1 t=1188
gu1 du2 	孤獨	c=1 d=1 t=548
gu4 ding4 	固定	c=1 d=1 t=673
